n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max
3.900e+03	3.005e+00	2.311e+00	3.246e+00	1.623e+00	1.307e+00	1.793e+00	9.965e-01	8.985e-01	1.242e+00
4.000e+03	3.005e+00	2.311e+00	3.246e+00	1.672e+00	1.354e+00	1.793e+00	9.965e-01	8.985e-01	1.242e+00
4.100e+03	3.005e+00	2.311e+00	3.246e+00	1.672e+00	1.354e+00	1.793e+00	9.965e-01	8.985e-01	1.242e+00
4.200e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.411e+00	1.799e+00	9.918e-01	8.332e-01	1.242e+00
4.300e+03	3.005e+00	2.311e+00	3.246e+00	1.730e+00	1.411e+00	1.793e+00	9.965e-01	8.985e-01	1.255e+00
4.400e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	9.965e-01	8.985e-01	1.255e+00
4.500e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	9.965e-01	8.985e-01	1.255e+00
4.600e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	9.965e-01	8.985e-01	1.255e+00
4.700e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	1.024e+00	9.291e-01	1.255e+00
4.800e+03	3.005e+00	2.311e+00	3.246e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
4.900e+03	2.749e+00	2.308e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.000e+03	2.749e+00	2.308e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.100e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.200e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.300e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.400e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.500e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.600e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.700e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.800e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.900e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.000e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.100e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.200e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.300e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	9.965e-01	8.985e-01	1.255e+00
6.400e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	9.965e-01	8.985e-01	1.255e+00
6.500e+03	2.692e+00	2.262e+00	3.174e+00	1.749e+00	1.459e+00	1.858e+00	9.965e-01	8.985e-01	1.255e+00
6.600e+03	2.692e+00	2.262e+00	3.174e+00	1.760e+00	1.459e+00	1.916e+00	9.965e-01	8.985e-01	1.255e+00
6.700e+03	2.692e+00	2.262e+00	3.174e+00	1.760e+00	1.459e+00	1.916e+00	9.965e-01	8.985e-01	1.255e+00
6.800e+03	2.749e+00	2.262e+00	3.246e+00	1.760e+00	1.459e+00	1.916e+00	9.965e-01	8.985e-01	1.255e+00
6.900e+03	2.749e+00	2.311e+00	3.246e+00	1.768e+00	1.459e+00	1.971e+00	9.965e-01	8.985e-01	1.255e+00
7.000e+03	2.749e+00	2.311e+00	3.246e+00	1.768e+00	1.459e+00	1.971e+00	9.965e-01	8.985e-01	1.255e+00
7.100e+03	2.749e+00	2.311e+00	3.246e+00	1.760e+00	1.455e+00	1.916e+00	1.024e+00	9.291e-01	1.273e+00
7.200e+03	3.000e+00	2.424e+00	3.296e+00	1.760e+00	1.455e+00	1.916e+00	1.024e+00	9.291e-01	1.273e+00
7.300e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.971e+00	1.024e+00	9.291e-01	1.273e+00
7.400e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.971e+00	1.024e+00	9.291e-01	1.273e+00
7.500e+03	3.005e+00	2.482e+00	3.369e+00	1.768e+00	1.459e+00	1.990e+00	1.024e+00	9.291e-01	1.273e+00
7.600e+03	3.005e+00	2.482e+00	3.369e+00	1.778e+00	1.545e+00	2.024e+00	1.024e+00	9.291e-01	1.273e+00
7.700e+03	3.005e+00	2.479e+00	3.369e+00	1.768e+00	1.455e+00	2.024e+00	9.965e-01	8.802e-01	1.255e+00
7.800e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
7.900e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.000e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.100e+03	3.086e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.200e+03	3.086e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.300e+03	3.086e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.400e+03	3.086e+00	2.479e+00	3.369e+00	1.778e+00	1.455e+00	2.024e+00	9.965e-01	8.802e-01	1.255e+00
8.500e+03	3.086e+00	2.479e+00	3.369e+00	1.778e+00	1.455e+00	2.024e+00	9.965e-01	8.802e-01	1.255e+00
8.600e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
8.700e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
8.800e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
8.900e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
9.000e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
9.100e+03	3.086e+00	2.424e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
9.200e+03	3.086e+00	2.424e+00	3.369e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.300e+03	3.086e+00	2.424e+00	3.369e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.400e+03	3.086e+00	2.424e+00	3.369e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.500e+03	3.099e+00	2.424e+00	3.397e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.600e+03	3.099e+00	2.424e+00	3.397e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.700e+03	3.099e+00	2.424e+00	3.397e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.800e+03	3.099e+00	2.424e+00	3.397e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
