n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max
3.900e+03	9.731e-01	8.721e-01	1.030e+00	9.620e-01	8.434e-01	1.121e+00	6.695e-01	6.214e-01	7.200e-01
4.000e+03	9.731e-01	8.721e-01	1.030e+00	9.620e-01	8.456e-01	1.121e+00	6.695e-01	6.214e-01	7.200e-01
4.100e+03	9.731e-01	8.721e-01	1.030e+00	9.620e-01	8.456e-01	1.121e+00	6.695e-01	6.214e-01	7.200e-01
4.200e+03	9.731e-01	8.721e-01	1.030e+00	9.620e-01	8.525e-01	1.121e+00	6.695e-01	6.214e-01	7.200e-01
4.300e+03	9.731e-01	8.721e-01	1.030e+00	9.901e-01	8.526e-01	1.126e+00	6.695e-01	6.247e-01	7.200e-01
4.400e+03	9.731e-01	8.721e-01	1.030e+00	9.901e-01	8.572e-01	1.126e+00	6.695e-01	6.247e-01	7.200e-01
4.500e+03	9.731e-01	8.728e-01	1.030e+00	9.901e-01	8.572e-01	1.126e+00	6.695e-01	6.247e-01	7.200e-01
4.600e+03	9.731e-01	8.728e-01	1.030e+00	9.901e-01	8.572e-01	1.126e+00	6.695e-01	6.247e-01	7.200e-01
4.700e+03	9.731e-01	8.728e-01	1.030e+00	9.901e-01	8.572e-01	1.126e+00	6.707e-01	6.274e-01	7.554e-01
4.800e+03	9.731e-01	8.728e-01	1.030e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.274e-01	7.554e-01
4.900e+03	9.731e-01	8.728e-01	1.030e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.000e+03	9.731e-01	8.728e-01	1.030e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.100e+03	9.731e-01	8.728e-01	1.030e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.200e+03	9.731e-01	8.728e-01	1.030e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.300e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.400e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.500e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.600e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.700e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.800e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
5.900e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
6.000e+03	9.731e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
6.100e+03	9.764e-01	8.728e-01	1.031e+00	9.997e-01	8.869e-01	1.142e+00	6.707e-01	6.401e-01	7.554e-01
6.200e+03	9.764e-01	8.728e-01	1.031e+00	1.015e+00	9.162e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
6.300e+03	9.764e-01	8.728e-01	1.031e+00	1.015e+00	9.162e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
6.400e+03	9.776e-01	8.936e-01	1.094e+00	1.015e+00	9.162e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
6.500e+03	9.776e-01	8.936e-01	1.094e+00	1.015e+00	9.162e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
6.600e+03	9.776e-01	8.936e-01	1.094e+00	1.029e+00	9.215e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
